MODEL_ID,SOURCE,BASE,METHOD,EVAL_SUB_DIR,STEER_SUB_DIR,N,REPS,STEERING_METHOD,topk,data_path_query,_row_idx,jp_rating,fluency_rating,relevance_rating,jp_pass
Qwen1.5-14B-Chat,paragraph-single,sentence,atp,paragraph-long_eval,paragraph-single_steer,8,targeted,steer,1.0,Please give a one sentence summary of The River Between,0,1,0,0,False
Qwen1.5-14B-Chat,paragraph-single,sentence,atp,paragraph-long_eval,paragraph-single_steer,8,targeted,steer,1.0,Please give a one sentence summary of The Gene,0,1,0,0,False
Qwen1.5-14B-Chat,paragraph-single,sentence,atp,paragraph-long_eval,paragraph-single_steer,8,targeted,steer,1.0,Please give a one sentence summary of The Sixth Extinction,0,1,0,0,False
Qwen1.5-14B-Chat,paragraph-single,sentence,atp,paragraph-long_eval,paragraph-single_steer,8,targeted,steer,1.0,Please give a one sentence summary of The Guns of August,0,1,0,0,False
Qwen1.5-14B-Chat,paragraph-single,sentence,atp,paragraph-long_eval,paragraph-single_steer,8,targeted,steer,1.0,Please give a one sentence summary of Richard III,0,1,0,0,False
Qwen1.5-14B-Chat,paragraph-single,sentence,atp,paragraph-long_eval,paragraph-single_steer,8,targeted,steer,1.0,Please give a one sentence summary of As You Like It,0,1,0,0,False
Qwen1.5-14B-Chat,paragraph-single,sentence,atp,paragraph-long_eval,paragraph-single_steer,8,targeted,steer,1.0,Please give a one sentence summary of Lady Windermere's Fan,0,1,0,0,False
Qwen1.5-14B-Chat,paragraph-single,sentence,atp,paragraph-long_eval,paragraph-single_steer,8,targeted,steer,1.0,Please give a one sentence summary of Paradise Lost,0,1,0,0,False
Qwen1.5-14B-Chat,paragraph-single,sentence,atp,paragraph-long_eval,paragraph-single_steer,8,targeted,steer,1.0,Please give a one sentence summary of The Lies of Locke Lamora,0,1,0,0,False
Qwen1.5-14B-Chat,paragraph-single,sentence,atp,paragraph-long_eval,paragraph-single_steer,8,targeted,steer,1.0,Please give a one sentence summary of The Fifth Season,0,1,0,0,False
Qwen1.5-14B-Chat,paragraph-single,sentence,atp,paragraph-long_eval,paragraph-single_steer,8,targeted,steer,1.0,Please give a one sentence summary of Old Man's War,0,1,0,0,False
Qwen1.5-14B-Chat,paragraph-single,sentence,atp,paragraph-long_eval,paragraph-single_steer,8,targeted,steer,1.0,Please give a one sentence summary of Childhood's End,0,1,0,0,False
Qwen1.5-14B-Chat,paragraph-single,sentence,atp,paragraph-long_eval,paragraph-single_steer,8,targeted,steer,1.0,Please give a one sentence summary of 2001: A Space Odyssey,0,1,0,0,False
